IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
141.101.121.206,4,4,0.00,170.61,0.00,N/A
141.101.120.141,4,4,0.00,172.19,0.00,N/A
172.64.34.217,4,4,0.00,172.73,0.00,N/A
104.18.232.108,4,4,0.00,175.13,0.00,N/A
104.19.49.47,4,4,0.00,175.76,0.00,N/A
104.18.210.110,4,4,0.00,176.37,0.00,N/A
104.18.133.38,4,4,0.00,176.87,0.00,N/A
172.65.200.235,4,4,0.00,180.18,0.00,N/A
172.65.206.215,4,4,0.00,181.09,0.00,N/A
172.65.88.110,4,4,0.00,181.92,0.00,N/A
104.18.87.58,4,4,0.00,182.15,0.00,N/A
104.27.195.221,4,4,0.00,182.32,0.00,N/A
172.64.35.209,4,4,0.00,182.80,0.00,N/A
172.65.83.97,4,4,0.00,183.80,0.00,N/A
172.67.115.45,4,4,0.00,184.35,0.00,N/A
172.67.109.61,4,4,0.00,184.42,0.00,N/A
104.27.199.104,4,4,0.00,184.61,0.00,N/A
104.27.55.140,4,4,0.00,184.95,0.00,N/A
104.23.126.50,4,4,0.00,186.35,0.00,N/A
104.23.97.94,4,4,0.00,186.58,0.00,N/A
172.65.80.97,4,4,0.00,187.11,0.00,N/A
172.65.141.175,4,4,0.00,187.34,0.00,N/A
104.27.49.243,4,4,0.00,188.22,0.00,N/A
108.162.195.23,4,4,0.00,189.54,0.00,N/A
172.65.146.228,4,4,0.00,189.77,0.00,N/A
172.65.89.157,4,4,0.00,189.96,0.00,N/A
104.25.4.81,4,4,0.00,190.07,0.00,N/A
104.25.11.89,4,4,0.00,190.35,0.00,N/A
172.65.90.242,4,4,0.00,190.36,0.00,N/A
104.25.138.144,4,4,0.00,190.39,0.00,N/A
104.27.200.172,4,4,0.00,190.83,0.00,N/A
172.67.88.239,4,4,0.00,191.16,0.00,N/A
104.18.250.196,4,4,0.00,192.35,0.00,N/A
172.65.240.126,4,4,0.00,192.80,0.00,N/A
104.27.118.3,4,4,0.00,192.95,0.00,N/A
104.25.63.97,4,4,0.00,192.96,0.00,N/A
104.27.204.236,4,4,0.00,193.05,0.00,N/A
104.25.47.196,4,4,0.00,193.90,0.00,N/A
172.66.135.31,4,4,0.00,194.02,0.00,N/A
104.16.201.188,4,4,0.00,194.24,0.00,N/A
104.27.201.28,4,4,0.00,195.17,0.00,N/A
104.27.66.223,4,4,0.00,195.48,0.00,N/A
172.65.81.92,4,4,0.00,196.15,0.00,N/A
172.65.138.75,4,4,0.00,196.45,0.00,N/A
162.159.9.55,4,4,0.00,196.60,0.00,N/A
104.19.77.26,4,4,0.00,197.43,0.00,N/A
172.65.125.141,4,4,0.00,197.70,0.00,N/A
104.25.101.238,4,4,0.00,199.28,0.00,N/A
141.101.113.135,4,4,0.00,199.94,0.00,N/A
104.24.253.165,4,4,0.00,201.58,0.00,N/A
104.25.43.12,4,4,0.00,201.72,0.00,N/A
104.27.64.178,4,4,0.00,202.07,0.00,N/A
104.25.40.112,4,4,0.00,202.49,0.00,N/A
172.65.85.42,4,4,0.00,203.00,0.00,N/A
104.27.206.177,4,4,0.00,203.81,0.00,N/A
104.27.194.185,4,4,0.00,204.52,0.00,N/A
104.27.57.176,4,4,0.00,204.72,0.00,N/A
162.159.6.99,4,4,0.00,205.14,0.00,N/A
104.16.208.207,4,4,0.00,205.96,0.00,N/A
172.65.106.7,4,4,0.00,206.00,0.00,N/A
104.25.100.152,4,4,0.00,206.14,0.00,N/A
104.25.9.10,4,4,0.00,206.22,0.00,N/A
104.25.2.103,4,4,0.00,206.67,0.00,N/A
104.25.6.214,4,4,0.00,207.38,0.00,N/A
104.27.125.248,4,4,0.00,207.56,0.00,N/A
104.23.99.171,4,4,0.00,208.38,0.00,N/A
162.159.20.67,4,4,0.00,208.69,0.00,N/A
172.65.137.158,4,4,0.00,208.89,0.00,N/A
141.101.90.252,4,4,0.00,208.91,0.00,N/A
104.17.27.5,4,4,0.00,209.43,0.00,N/A
104.23.96.103,4,4,0.00,209.71,0.00,N/A
198.41.200.113,4,4,0.00,210.96,0.00,N/A
104.25.3.135,4,4,0.00,211.53,0.00,N/A
172.67.192.153,4,4,0.00,213.75,0.00,N/A
172.67.128.121,4,4,0.00,216.03,0.00,N/A
104.16.192.233,4,4,0.00,216.10,0.00,N/A
104.29.158.150,4,4,0.00,216.16,0.00,N/A
104.19.27.221,4,4,0.00,217.16,0.00,N/A
104.16.238.110,4,4,0.00,219.89,0.00,N/A
104.21.110.121,4,4,0.00,220.02,0.00,N/A
172.67.142.189,4,4,0.00,221.18,0.00,N/A
162.159.10.98,4,4,0.00,221.72,0.00,N/A
172.67.141.146,4,4,0.00,222.05,0.00,N/A
104.21.21.9,4,4,0.00,222.20,0.00,N/A
104.29.157.254,4,4,0.00,223.36,0.00,N/A
104.21.44.171,4,4,0.00,223.49,0.00,N/A
104.21.33.67,4,4,0.00,224.51,0.00,N/A
162.159.14.250,4,4,0.00,225.19,0.00,N/A
172.67.149.124,4,4,0.00,225.46,0.00,N/A
104.21.60.76,4,4,0.00,226.39,0.00,N/A
104.21.34.167,4,4,0.00,228.03,0.00,N/A
104.21.66.44,4,4,0.00,228.14,0.00,N/A
198.41.193.202,4,4,0.00,228.58,0.00,N/A
172.67.231.90,4,4,0.00,229.40,0.00,N/A
172.65.60.144,4,4,0.00,229.46,0.00,N/A
162.159.11.102,4,4,0.00,229.99,0.00,N/A
188.114.97.221,4,4,0.00,230.32,0.00,N/A
104.21.31.187,4,4,0.00,230.39,0.00,N/A
198.41.206.251,4,4,0.00,230.57,0.00,N/A
172.67.169.129,4,4,0.00,231.16,0.00,N/A
104.18.221.160,4,4,0.00,231.31,0.00,N/A
172.67.251.106,4,4,0.00,231.38,0.00,N/A
104.21.19.88,4,4,0.00,232.40,0.00,N/A
104.21.76.1,4,4,0.00,233.29,0.00,N/A
104.21.85.131,4,4,0.00,233.30,0.00,N/A
104.21.25.159,4,4,0.00,233.59,0.00,N/A
172.67.208.10,4,4,0.00,234.32,0.00,N/A
172.64.92.242,4,4,0.00,234.75,0.00,N/A
172.65.5.190,4,4,0.00,235.78,0.00,N/A
173.245.59.112,4,4,0.00,237.44,0.00,N/A
104.21.108.113,4,4,0.00,237.57,0.00,N/A
104.18.245.3,4,4,0.00,238.08,0.00,N/A
162.159.40.247,4,4,0.00,239.48,0.00,N/A
104.19.0.13,4,4,0.00,240.12,0.00,N/A
104.21.42.59,4,4,0.00,240.75,0.00,N/A
104.19.15.109,4,4,0.00,248.82,0.00,N/A
104.21.49.195,4,4,0.00,249.41,0.00,N/A
104.19.14.123,4,4,0.00,250.93,0.00,N/A
198.41.199.9,4,4,0.00,253.58,0.00,N/A
104.29.159.206,4,4,0.00,255.12,0.00,N/A
108.162.198.59,4,4,0.00,260.18,0.00,N/A
104.29.144.155,4,4,0.00,261.55,0.00,N/A
198.41.216.166,4,4,0.00,263.88,0.00,N/A
162.159.25.79,4,4,0.00,265.49,0.00,N/A
104.16.173.251,4,4,0.00,265.54,0.00,N/A
104.16.219.16,4,4,0.00,267.19,0.00,N/A
103.21.244.66,4,4,0.00,267.32,0.00,N/A
198.41.192.140,4,4,0.00,270.43,0.00,N/A
162.159.16.8,4,4,0.00,281.10,0.00,N/A
104.29.145.249,4,4,0.00,284.12,0.00,N/A
104.17.14.107,4,4,0.00,284.74,0.00,N/A
162.159.33.9,4,3,0.25,163.50,0.00,N/A
104.19.1.203,4,3,0.25,165.66,0.00,N/A
104.17.10.246,4,3,0.25,168.12,0.00,N/A
172.65.204.110,4,3,0.25,168.44,0.00,N/A
104.16.251.149,4,3,0.25,169.01,0.00,N/A
104.19.24.233,4,3,0.25,169.23,0.00,N/A
141.101.122.200,4,3,0.25,169.24,0.00,N/A
104.16.222.196,4,3,0.25,169.37,0.00,N/A
104.17.18.41,4,3,0.25,169.59,0.00,N/A
104.19.59.153,4,3,0.25,170.84,0.00,N/A
104.17.3.191,4,3,0.25,171.07,0.00,N/A
172.65.212.42,4,3,0.25,171.19,0.00,N/A
172.65.194.74,4,3,0.25,171.33,0.00,N/A
104.16.194.52,4,3,0.25,171.42,0.00,N/A
198.41.203.196,4,3,0.25,173.66,0.00,N/A
104.19.40.143,4,3,0.25,173.79,0.00,N/A
104.16.224.56,4,3,0.25,174.55,0.00,N/A
104.16.171.114,4,3,0.25,174.63,0.00,N/A
104.17.16.183,4,3,0.25,174.76,0.00,N/A
141.101.115.123,4,3,0.25,175.35,0.00,N/A
198.41.217.76,4,3,0.25,175.82,0.00,N/A
141.101.123.213,4,3,0.25,176.23,0.00,N/A
198.41.201.13,4,3,0.25,176.44,0.00,N/A
104.19.136.126,4,3,0.25,176.96,0.00,N/A
104.16.193.195,4,3,0.25,177.00,0.00,N/A
104.21.224.85,4,3,0.25,177.85,0.00,N/A
172.65.238.127,4,3,0.25,177.96,0.00,N/A
104.18.206.194,4,3,0.25,178.00,0.00,N/A
172.65.233.45,4,3,0.25,178.90,0.00,N/A
104.19.50.237,4,3,0.25,179.04,0.00,N/A
104.19.61.11,4,3,0.25,179.38,0.00,N/A
172.65.216.254,4,3,0.25,179.63,0.00,N/A
173.245.58.254,4,3,0.25,179.74,0.00,N/A
198.41.222.188,4,3,0.25,179.95,0.00,N/A
173.245.49.150,4,3,0.25,180.27,0.00,N/A
104.16.195.175,4,3,0.25,180.62,0.00,N/A
104.19.57.218,4,3,0.25,182.05,0.00,N/A
190.93.247.8,4,3,0.25,182.22,0.00,N/A
104.16.191.64,4,3,0.25,183.41,0.00,N/A
172.64.42.188,4,3,0.25,183.54,0.00,N/A
104.25.158.236,4,3,0.25,183.65,0.00,N/A
162.159.23.138,4,3,0.25,183.81,0.00,N/A
172.64.159.95,4,3,0.25,184.51,0.00,N/A
104.27.115.83,4,3,0.25,185.01,0.00,N/A
104.27.93.122,4,3,0.25,185.08,0.00,N/A
162.159.27.175,4,3,0.25,185.26,0.00,N/A
104.27.90.5,4,3,0.25,185.65,0.00,N/A
104.25.134.158,4,3,0.25,185.71,0.00,N/A
172.65.197.229,4,3,0.25,185.75,0.00,N/A
104.25.104.84,4,3,0.25,185.96,0.00,N/A
104.27.192.21,4,3,0.25,186.04,0.00,N/A
104.16.216.68,4,3,0.25,186.26,0.00,N/A
198.41.207.148,4,3,0.25,186.59,0.00,N/A
104.27.198.29,4,3,0.25,186.64,0.00,N/A
104.27.117.34,4,3,0.25,186.68,0.00,N/A
172.65.148.94,4,3,0.25,186.96,0.00,N/A
104.25.121.4,4,3,0.25,187.30,0.00,N/A
104.25.49.216,4,3,0.25,187.42,0.00,N/A
104.25.84.187,4,3,0.25,187.48,0.00,N/A
104.27.116.178,4,3,0.25,188.87,0.00,N/A
104.16.215.44,4,3,0.25,188.89,0.00,N/A
104.18.234.235,4,3,0.25,188.90,0.00,N/A
104.25.108.235,4,3,0.25,188.91,0.00,N/A
104.27.197.249,4,3,0.25,189.45,0.00,N/A
104.27.122.29,4,3,0.25,189.92,0.00,N/A
104.16.189.44,4,3,0.25,190.13,0.00,N/A
104.19.58.126,4,3,0.25,190.13,0.00,N/A
104.18.238.3,4,3,0.25,190.26,0.00,N/A
172.65.128.134,4,3,0.25,190.66,0.00,N/A
104.27.51.248,4,3,0.25,190.79,0.00,N/A
104.16.178.48,4,3,0.25,191.00,0.00,N/A
172.65.203.83,4,3,0.25,191.08,0.00,N/A
104.25.112.128,4,3,0.25,191.28,0.00,N/A
104.25.83.3,4,3,0.25,191.51,0.00,N/A
172.64.82.38,4,3,0.25,191.55,0.00,N/A
104.27.193.89,4,3,0.25,191.69,0.00,N/A
104.25.5.141,4,3,0.25,192.19,0.00,N/A
162.159.4.237,4,3,0.25,192.21,0.00,N/A
104.25.45.112,4,3,0.25,192.49,0.00,N/A
104.16.184.4,4,3,0.25,192.59,0.00,N/A
172.65.103.133,4,3,0.25,193.07,0.00,N/A
104.25.136.115,4,3,0.25,193.45,0.00,N/A
104.25.135.203,4,3,0.25,193.77,0.00,N/A
104.27.62.142,4,3,0.25,194.12,0.00,N/A
104.27.120.219,4,3,0.25,194.18,0.00,N/A
104.19.55.100,4,3,0.25,194.19,0.00,N/A
104.20.62.129,4,3,0.25,194.26,0.00,N/A
104.24.249.90,4,3,0.25,194.30,0.00,N/A
104.25.24.7,4,3,0.25,194.43,0.00,N/A
104.25.198.124,4,3,0.25,194.78,0.00,N/A
104.16.170.74,4,3,0.25,195.30,0.00,N/A
104.25.139.149,4,3,0.25,195.68,0.00,N/A
104.27.47.127,4,3,0.25,196.12,0.00,N/A
104.25.80.93,4,3,0.25,196.20,0.00,N/A
104.25.25.78,4,3,0.25,196.23,0.00,N/A
104.20.24.111,4,3,0.25,196.53,0.00,N/A
104.27.96.63,4,3,0.25,196.87,0.00,N/A
104.25.64.161,4,3,0.25,197.45,0.00,N/A
172.65.108.167,4,3,0.25,198.03,0.00,N/A
172.65.198.92,4,3,0.25,198.90,0.00,N/A
104.27.203.151,4,3,0.25,199.26,0.00,N/A
172.65.207.20,4,3,0.25,199.30,0.00,N/A
172.65.220.142,4,3,0.25,199.39,0.00,N/A
104.25.131.218,4,3,0.25,199.47,0.00,N/A
172.65.182.19,4,3,0.25,200.05,0.00,N/A
104.19.42.3,4,3,0.25,200.06,0.00,N/A
104.25.22.250,4,3,0.25,200.09,0.00,N/A
104.25.155.139,4,3,0.25,200.19,0.00,N/A
104.25.7.77,4,3,0.25,200.55,0.00,N/A
104.18.240.134,4,3,0.25,200.85,0.00,N/A
104.23.138.193,4,3,0.25,201.23,0.00,N/A
104.16.255.166,4,3,0.25,201.57,0.00,N/A
172.65.171.208,4,3,0.25,201.79,0.00,N/A
104.19.51.187,4,3,0.25,201.87,0.00,N/A
104.25.67.102,4,3,0.25,201.96,0.00,N/A
172.64.37.142,4,3,0.25,202.65,0.00,N/A
104.25.15.172,4,3,0.25,202.72,0.00,N/A
104.16.183.157,4,3,0.25,202.80,0.00,N/A
104.25.16.44,4,3,0.25,202.92,0.00,N/A
104.27.119.20,4,3,0.25,203.03,0.00,N/A
104.27.202.72,4,3,0.25,203.32,0.00,N/A
104.27.205.247,4,3,0.25,204.24,0.00,N/A
104.27.44.147,4,3,0.25,204.95,0.00,N/A
172.65.162.180,4,3,0.25,205.18,0.00,N/A
104.25.27.102,4,3,0.25,205.50,0.00,N/A
104.25.20.71,4,3,0.25,205.55,0.00,N/A
104.25.118.22,4,3,0.25,205.63,0.00,N/A
104.27.196.211,4,3,0.25,205.69,0.00,N/A
162.159.2.235,4,3,0.25,205.82,0.00,N/A
104.24.242.122,4,3,0.25,205.83,0.00,N/A
172.65.169.247,4,3,0.25,205.93,0.00,N/A
104.25.137.129,4,3,0.25,206.03,0.00,N/A
108.162.192.52,4,3,0.25,206.74,0.00,N/A
172.65.87.122,4,3,0.25,206.76,0.00,N/A
172.65.102.200,4,3,0.25,206.82,0.00,N/A
104.25.77.56,4,3,0.25,206.91,0.00,N/A
104.25.160.115,4,3,0.25,207.14,0.00,N/A
104.16.226.129,4,3,0.25,207.18,0.00,N/A
104.25.115.147,4,3,0.25,207.34,0.00,N/A
172.65.84.239,4,3,0.25,207.39,0.00,N/A
104.25.154.250,4,3,0.25,207.40,0.00,N/A
104.16.190.135,4,3,0.25,207.60,0.00,N/A
172.65.101.45,4,3,0.25,207.72,0.00,N/A
104.27.48.85,4,3,0.25,207.91,0.00,N/A
104.25.152.164,4,3,0.25,208.62,0.00,N/A
172.65.166.48,4,3,0.25,208.71,0.00,N/A
104.25.146.130,4,3,0.25,208.94,0.00,N/A
104.25.28.221,4,3,0.25,209.34,0.00,N/A
172.65.237.6,4,3,0.25,209.59,0.00,N/A
104.24.252.194,4,3,0.25,209.71,0.00,N/A
104.25.46.121,4,3,0.25,210.02,0.00,N/A
104.25.169.246,4,3,0.25,210.61,0.00,N/A
104.25.161.66,4,3,0.25,210.67,0.00,N/A
104.27.207.21,4,3,0.25,210.90,0.00,N/A
104.16.198.181,4,3,0.25,210.97,0.00,N/A
104.23.100.117,4,3,0.25,211.25,0.00,N/A
162.159.1.252,4,3,0.25,211.26,0.00,N/A
172.67.23.7,4,3,0.25,211.28,0.00,N/A
162.159.8.88,4,3,0.25,211.35,0.00,N/A
172.65.135.249,4,3,0.25,211.63,0.00,N/A
172.65.165.6,4,3,0.25,211.69,0.00,N/A
104.19.64.35,4,3,0.25,212.13,0.00,N/A
104.19.46.41,4,3,0.25,212.23,0.00,N/A
104.25.120.222,4,3,0.25,212.38,0.00,N/A
104.21.69.157,4,3,0.25,212.45,0.00,N/A
190.93.244.83,4,3,0.25,212.70,0.00,N/A
104.19.178.229,4,3,0.25,212.79,0.00,N/A
104.25.122.149,4,3,0.25,213.01,0.00,N/A
104.25.17.46,4,3,0.25,213.05,0.00,N/A
104.17.8.199,4,3,0.25,213.24,0.00,N/A
104.25.109.0,4,3,0.25,213.25,0.00,N/A
104.16.207.56,4,3,0.25,213.36,0.00,N/A
172.67.130.27,4,3,0.25,214.47,0.00,N/A
172.64.38.0,4,3,0.25,215.75,0.00,N/A
198.41.198.1,4,3,0.25,216.23,0.00,N/A
104.18.205.192,4,3,0.25,216.30,0.00,N/A
104.18.239.237,4,3,0.25,216.80,0.00,N/A
172.65.163.87,4,3,0.25,216.98,0.00,N/A
104.19.39.46,4,3,0.25,217.28,0.00,N/A
104.21.46.108,4,3,0.25,217.74,0.00,N/A
104.19.8.219,4,3,0.25,217.91,0.00,N/A
162.159.13.95,4,3,0.25,218.47,0.00,N/A
172.65.232.188,4,3,0.25,218.78,0.00,N/A
104.17.22.192,4,3,0.25,219.23,0.00,N/A
172.67.252.113,4,3,0.25,219.49,0.00,N/A
104.19.56.193,4,3,0.25,220.02,0.00,N/A
104.21.26.80,4,3,0.25,220.23,0.00,N/A
104.21.24.120,4,3,0.25,221.44,0.00,N/A
104.19.33.84,4,3,0.25,221.66,0.00,N/A
172.67.143.82,4,3,0.25,222.08,0.00,N/A
172.67.254.234,4,3,0.25,222.35,0.00,N/A
104.21.112.16,4,3,0.25,223.11,0.00,N/A
104.19.21.218,4,3,0.25,223.37,0.00,N/A
104.19.73.167,4,3,0.25,223.90,0.00,N/A
