IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.199.178,4,2,0.50,241.70,0.00,N/A
104.21.93.155,4,2,0.50,242.14,0.00,N/A
104.21.105.247,4,2,0.50,242.39,0.00,N/A
172.67.237.203,4,2,0.50,243.20,0.00,N/A
104.21.67.19,4,2,0.50,244.70,0.00,N/A
172.67.129.156,4,2,0.50,245.99,0.00,N/A
172.67.242.188,4,2,0.50,246.07,0.00,N/A
172.67.201.160,4,2,0.50,246.09,0.00,N/A
172.67.228.250,4,2,0.50,246.47,0.00,N/A
172.67.195.214,4,2,0.50,247.36,0.00,N/A
104.17.23.35,4,2,0.50,250.13,0.00,N/A
104.16.252.241,4,2,0.50,251.28,0.00,N/A
104.18.249.186,4,2,0.50,252.02,0.00,N/A
172.67.248.187,4,2,0.50,252.07,0.00,N/A
172.67.131.46,4,2,0.50,252.28,0.00,N/A
104.17.0.9,4,2,0.50,252.95,0.00,N/A
172.67.204.103,4,2,0.50,254.53,0.00,N/A
104.16.179.117,4,2,0.50,254.91,0.00,N/A
172.65.12.220,4,2,0.50,256.55,0.00,N/A
172.67.176.156,4,2,0.50,256.81,0.00,N/A
172.65.231.8,4,2,0.50,258.67,0.00,N/A
104.16.203.254,4,2,0.50,262.04,0.00,N/A
104.19.41.46,4,2,0.50,265.39,0.00,N/A
104.16.221.213,4,2,0.50,268.02,0.00,N/A
104.19.97.228,4,2,0.50,269.77,0.00,N/A
104.19.38.43,4,2,0.50,275.62,0.00,N/A
104.16.205.95,4,2,0.50,282.59,0.00,N/A
162.159.0.137,4,2,0.50,283.38,0.00,N/A
162.159.32.3,4,2,0.50,291.78,0.00,N/A
162.159.36.48,4,2,0.50,296.85,0.00,N/A
104.16.182.109,4,2,0.50,308.08,0.00,N/A
104.17.1.92,4,2,0.50,315.93,0.00,N/A
104.19.72.245,4,2,0.50,319.16,0.00,N/A
104.16.229.45,4,2,0.50,321.22,0.00,N/A
190.93.245.152,4,2,0.50,336.90,0.00,N/A
104.17.7.145,4,2,0.50,349.57,0.00,N/A
104.18.213.14,4,1,0.75,163.67,0.00,N/A
104.19.30.199,4,1,0.75,164.04,0.00,N/A
104.18.252.219,4,1,0.75,164.51,0.00,N/A
104.18.237.110,4,1,0.75,165.68,0.00,N/A
104.16.188.172,4,1,0.75,166.77,0.00,N/A
104.18.217.241,4,1,0.75,167.06,0.00,N/A
172.65.246.132,4,1,0.75,168.13,0.00,N/A
104.19.65.194,4,1,0.75,168.13,0.00,N/A
104.16.214.194,4,1,0.75,168.14,0.00,N/A
104.16.199.146,4,1,0.75,169.13,0.00,N/A
104.16.187.85,4,1,0.75,169.21,0.00,N/A
104.18.201.59,4,1,0.75,169.94,0.00,N/A
104.16.200.21,4,1,0.75,170.40,0.00,N/A
104.19.7.172,4,1,0.75,171.16,0.00,N/A
104.16.233.87,4,1,0.75,171.19,0.00,N/A
104.18.241.152,4,1,0.75,171.42,0.00,N/A
104.18.212.123,4,1,0.75,171.42,0.00,N/A
104.16.239.52,4,1,0.75,171.47,0.00,N/A
104.18.244.113,4,1,0.75,171.79,0.00,N/A
172.65.227.240,4,1,0.75,171.86,0.00,N/A
172.65.251.201,4,1,0.75,172.89,0.00,N/A
104.17.75.226,4,1,0.75,173.25,0.00,N/A
104.18.223.101,4,1,0.75,173.25,0.00,N/A
104.18.229.11,4,1,0.75,173.40,0.00,N/A
104.19.37.75,4,1,0.75,173.70,0.00,N/A
104.16.177.246,4,1,0.75,174.08,0.00,N/A
104.18.218.96,4,1,0.75,174.15,0.00,N/A
104.16.240.184,4,1,0.75,174.20,0.00,N/A
104.16.241.21,4,1,0.75,174.25,0.00,N/A
104.21.237.45,4,1,0.75,176.08,0.00,N/A
104.17.30.19,4,1,0.75,176.25,0.00,N/A
104.18.225.76,4,1,0.75,176.46,0.00,N/A
172.65.229.96,4,1,0.75,176.57,0.00,N/A
104.19.26.118,4,1,0.75,176.57,0.00,N/A
104.17.45.234,4,1,0.75,176.78,0.00,N/A
172.65.219.91,4,1,0.75,176.96,0.00,N/A
198.41.223.198,4,1,0.75,177.06,0.00,N/A
172.65.222.206,4,1,0.75,178.64,0.00,N/A
190.93.246.193,4,1,0.75,179.66,0.00,N/A
104.25.75.19,4,1,0.75,179.71,0.00,N/A
104.18.226.224,4,1,0.75,180.63,0.00,N/A
108.162.193.248,4,1,0.75,181.13,0.00,N/A
104.25.31.119,4,1,0.75,181.94,0.00,N/A
172.67.110.213,4,1,0.75,182.15,0.00,N/A
162.159.41.63,4,1,0.75,182.80,0.00,N/A
104.25.8.235,4,1,0.75,182.84,0.00,N/A
104.25.105.177,4,1,0.75,182.97,0.00,N/A
104.25.29.162,4,1,0.75,183.02,0.00,N/A
172.67.118.15,4,1,0.75,183.07,0.00,N/A
172.65.174.192,4,1,0.75,183.14,0.00,N/A
104.25.50.20,4,1,0.75,183.59,0.00,N/A
104.21.239.56,4,1,0.75,183.60,0.00,N/A
172.65.159.113,4,1,0.75,183.75,0.00,N/A
104.25.41.41,4,1,0.75,183.86,0.00,N/A
104.25.168.83,4,1,0.75,184.24,0.00,N/A
104.23.123.173,4,1,0.75,184.85,0.00,N/A
104.23.116.70,4,1,0.75,184.85,0.00,N/A
104.25.170.252,4,1,0.75,184.94,0.00,N/A
104.27.42.251,4,1,0.75,185.19,0.00,N/A
172.65.234.41,4,1,0.75,185.35,0.00,N/A
104.16.7.148,4,1,0.75,185.90,0.00,N/A
162.159.128.78,4,1,0.75,185.91,0.00,N/A
104.25.85.217,4,1,0.75,186.13,0.00,N/A
104.25.23.29,4,1,0.75,186.50,0.00,N/A
104.23.141.211,4,1,0.75,186.78,0.00,N/A
104.27.76.127,4,1,0.75,187.87,0.00,N/A
104.16.157.22,4,1,0.75,188.21,0.00,N/A
104.25.178.192,4,1,0.75,189.04,0.00,N/A
104.17.241.221,4,1,0.75,190.77,0.00,N/A
104.19.96.75,4,1,0.75,190.80,0.00,N/A
162.159.245.6,4,1,0.75,191.48,0.00,N/A
104.23.129.59,4,1,0.75,192.33,0.00,N/A
162.159.243.54,4,1,0.75,192.36,0.00,N/A
104.27.92.55,4,1,0.75,192.62,0.00,N/A
104.25.65.123,4,1,0.75,192.95,0.00,N/A
104.25.157.69,4,1,0.75,193.41,0.00,N/A
172.65.158.237,4,1,0.75,194.02,0.00,N/A
104.19.2.132,4,1,0.75,194.04,0.00,N/A
104.23.114.211,4,1,0.75,194.68,0.00,N/A
104.27.52.65,4,1,0.75,194.82,0.00,N/A
104.25.116.110,4,1,0.75,194.86,0.00,N/A
172.65.179.128,4,1,0.75,194.91,0.00,N/A
104.25.124.114,4,1,0.75,195.15,0.00,N/A
104.25.0.192,4,1,0.75,195.22,0.00,N/A
104.25.86.81,4,1,0.75,195.43,0.00,N/A
104.25.144.144,4,1,0.75,195.68,0.00,N/A
104.25.10.30,4,1,0.75,195.76,0.00,N/A
172.65.173.33,4,1,0.75,195.82,0.00,N/A
104.25.173.172,4,1,0.75,196.16,0.00,N/A
104.25.73.32,4,1,0.75,196.44,0.00,N/A
104.27.75.93,4,1,0.75,196.77,0.00,N/A
104.27.91.117,4,1,0.75,197.12,0.00,N/A
104.25.140.229,4,1,0.75,197.32,0.00,N/A
172.65.185.64,4,1,0.75,197.33,0.00,N/A
104.25.66.201,4,1,0.75,197.39,0.00,N/A
172.65.142.109,4,1,0.75,197.51,0.00,N/A
172.65.175.0,4,1,0.75,197.54,0.00,N/A
172.65.164.223,4,1,0.75,197.54,0.00,N/A
104.16.102.58,4,1,0.75,197.81,0.00,N/A
172.65.133.234,4,1,0.75,197.83,0.00,N/A
104.25.133.24,4,1,0.75,197.83,0.00,N/A
104.25.81.166,4,1,0.75,197.91,0.00,N/A
172.67.134.70,4,1,0.75,198.12,0.00,N/A
104.25.127.129,4,1,0.75,198.41,0.00,N/A
104.27.68.180,4,1,0.75,198.52,0.00,N/A
104.25.113.193,4,1,0.75,198.67,0.00,N/A
104.27.61.7,4,1,0.75,198.77,0.00,N/A
172.65.156.55,4,1,0.75,198.83,0.00,N/A
172.65.132.228,4,1,0.75,199.10,0.00,N/A
104.23.106.123,4,1,0.75,199.24,0.00,N/A
172.67.172.253,4,1,0.75,199.41,0.00,N/A
172.67.113.106,4,1,0.75,199.41,0.00,N/A
104.18.151.71,4,1,0.75,199.45,0.00,N/A
104.25.44.230,4,1,0.75,199.53,0.00,N/A
172.65.183.239,4,1,0.75,199.54,0.00,N/A
104.21.16.108,4,1,0.75,200.13,0.00,N/A
172.65.188.8,4,1,0.75,200.15,0.00,N/A
172.65.160.83,4,1,0.75,200.30,0.00,N/A
104.27.78.3,4,1,0.75,200.46,0.00,N/A
104.27.80.42,4,1,0.75,200.69,0.00,N/A
104.27.82.19,4,1,0.75,200.93,0.00,N/A
104.18.150.215,4,1,0.75,201.21,0.00,N/A
104.25.82.130,4,1,0.75,201.26,0.00,N/A
172.67.132.213,4,1,0.75,201.42,0.00,N/A
104.25.165.110,4,1,0.75,203.09,0.00,N/A
172.67.116.7,4,1,0.75,204.09,0.00,N/A
172.67.79.153,4,1,0.75,205.89,0.00,N/A
104.25.177.29,4,1,0.75,206.47,0.00,N/A
104.23.127.84,4,1,0.75,206.79,0.00,N/A
172.65.157.26,4,1,0.75,206.81,0.00,N/A
172.65.143.100,4,1,0.75,207.04,0.00,N/A
172.67.213.100,4,1,0.75,207.71,0.00,N/A
172.67.120.9,4,1,0.75,207.72,0.00,N/A
172.67.153.129,4,1,0.75,208.63,0.00,N/A
172.67.125.200,4,1,0.75,208.65,0.00,N/A
104.25.149.106,4,1,0.75,208.83,0.00,N/A
162.159.34.226,4,1,0.75,209.01,0.00,N/A
104.21.104.184,4,1,0.75,209.12,0.00,N/A
172.67.212.137,4,1,0.75,209.67,0.00,N/A
172.67.123.136,4,1,0.75,209.89,0.00,N/A
104.21.0.77,4,1,0.75,210.27,0.00,N/A
172.65.170.217,4,1,0.75,210.29,0.00,N/A
104.27.35.43,4,1,0.75,210.34,0.00,N/A
104.27.79.195,4,1,0.75,210.51,0.00,N/A
104.27.63.69,4,1,0.75,210.53,0.00,N/A
104.25.26.185,4,1,0.75,210.61,0.00,N/A
104.25.42.149,4,1,0.75,210.70,0.00,N/A
198.41.196.53,4,1,0.75,210.92,0.00,N/A
172.65.202.128,4,1,0.75,211.10,0.00,N/A
104.17.17.118,4,1,0.75,211.16,0.00,N/A
104.25.126.214,4,1,0.75,211.18,0.00,N/A
172.65.123.189,4,1,0.75,211.24,0.00,N/A
104.27.60.48,4,1,0.75,211.46,0.00,N/A
172.65.186.1,4,1,0.75,211.52,0.00,N/A
172.65.86.79,4,1,0.75,211.57,0.00,N/A
104.21.10.53,4,1,0.75,211.76,0.00,N/A
172.65.184.152,4,1,0.75,211.78,0.00,N/A
104.27.70.234,4,1,0.75,211.98,0.00,N/A
172.67.168.42,4,1,0.75,212.00,0.00,N/A
104.21.99.173,4,1,0.75,212.05,0.00,N/A
172.65.181.172,4,1,0.75,212.07,0.00,N/A
172.67.203.54,4,1,0.75,212.08,0.00,N/A
104.27.50.143,4,1,0.75,212.10,0.00,N/A
104.21.53.192,4,1,0.75,212.10,0.00,N/A
172.67.206.8,4,1,0.75,212.26,0.00,N/A
104.27.77.89,4,1,0.75,212.28,0.00,N/A
104.25.151.104,4,1,0.75,212.32,0.00,N/A
104.21.12.16,4,1,0.75,212.68,0.00,N/A
104.21.17.104,4,1,0.75,212.70,0.00,N/A
172.65.187.74,4,1,0.75,212.74,0.00,N/A
104.25.33.231,4,1,0.75,212.80,0.00,N/A
104.25.141.117,4,1,0.75,213.00,0.00,N/A
104.27.67.150,4,1,0.75,213.13,0.00,N/A
172.65.144.178,4,1,0.75,213.20,0.00,N/A
104.21.52.226,4,1,0.75,213.68,0.00,N/A
172.65.177.1,4,1,0.75,213.78,0.00,N/A
104.27.58.213,4,1,0.75,214.07,0.00,N/A
172.67.178.33,4,1,0.75,214.39,0.00,N/A
172.67.127.189,4,1,0.75,214.40,0.00,N/A
172.67.167.87,4,1,0.75,214.48,0.00,N/A
104.21.96.216,4,1,0.75,214.66,0.00,N/A
104.21.103.195,4,1,0.75,214.83,0.00,N/A
104.23.122.11,4,1,0.75,214.85,0.00,N/A
104.21.87.122,4,1,0.75,214.92,0.00,N/A
172.67.185.245,4,1,0.75,214.92,0.00,N/A
172.65.91.153,4,1,0.75,215.02,0.00,N/A
104.27.97.215,4,1,0.75,215.05,0.00,N/A
104.25.142.8,4,1,0.75,215.25,0.00,N/A
104.23.132.217,4,1,0.75,215.33,0.00,N/A
172.67.145.128,4,1,0.75,215.37,0.00,N/A
172.67.210.240,4,1,0.75,215.43,0.00,N/A
172.67.182.141,4,1,0.75,215.57,0.00,N/A
172.67.170.100,4,1,0.75,215.85,0.00,N/A
172.67.215.56,4,1,0.75,216.24,0.00,N/A
172.65.176.224,4,1,0.75,216.76,0.00,N/A
172.67.151.13,4,1,0.75,217.05,0.00,N/A
104.21.198.22,4,1,0.75,217.27,0.00,N/A
104.21.50.44,4,1,0.75,217.36,0.00,N/A
104.25.32.177,4,1,0.75,217.38,0.00,N/A
104.19.35.200,4,1,0.75,217.44,0.00,N/A
104.21.115.123,4,1,0.75,217.72,0.00,N/A
104.21.20.237,4,1,0.75,218.20,0.00,N/A
172.67.173.238,4,1,0.75,218.40,0.00,N/A
104.25.231.57,4,1,0.75,218.45,0.00,N/A
104.21.106.152,4,1,0.75,218.58,0.00,N/A
104.27.126.205,4,1,0.75,218.88,0.00,N/A
172.67.124.177,4,1,0.75,219.90,0.00,N/A
172.66.164.0,4,1,0.75,220.22,0.00,N/A
104.21.121.201,4,1,0.75,221.67,0.00,N/A
104.19.45.187,4,1,0.75,221.99,0.00,N/A
104.21.6.226,4,1,0.75,222.78,0.00,N/A
172.67.188.195,4,1,0.75,224.44,0.00,N/A
104.21.59.151,4,1,0.75,224.92,0.00,N/A
104.21.111.210,4,1,0.75,225.97,0.00,N/A
172.65.221.120,4,1,0.75,226.62,0.00,N/A
172.65.93.123,4,1,0.75,226.94,0.00,N/A
104.21.82.137,4,1,0.75,227.02,0.00,N/A
104.21.75.155,4,1,0.75,227.19,0.00,N/A
104.21.4.103,4,1,0.75,227.65,0.00,N/A
172.65.218.115,4,1,0.75,228.33,0.00,N/A
172.67.183.190,4,1,0.75,228.38,0.00,N/A
172.65.225.135,4,1,0.75,228.57,0.00,N/A
104.21.18.142,4,1,0.75,228.62,0.00,N/A
172.67.216.164,4,1,0.75,229.22,0.00,N/A
104.21.41.229,4,1,0.75,229.28,0.00,N/A
104.21.86.97,4,1,0.75,229.30,0.00,N/A
104.21.54.37,4,1,0.75,229.37,0.00,N/A
172.67.190.171,4,1,0.75,229.48,0.00,N/A
172.67.194.139,4,1,0.75,229.59,0.00,N/A
104.21.40.93,4,1,0.75,229.68,0.00,N/A
172.67.180.110,4,1,0.75,229.94,0.00,N/A
172.67.166.204,4,1,0.75,230.28,0.00,N/A
104.21.74.128,4,1,0.75,230.60,0.00,N/A
172.67.214.107,4,1,0.75,230.77,0.00,N/A
172.67.175.89,4,1,0.75,231.01,0.00,N/A
104.16.175.228,4,1,0.75,231.75,0.00,N/A
104.21.48.8,4,1,0.75,232.07,0.00,N/A
104.21.37.104,4,1,0.75,232.16,0.00,N/A
104.21.8.192,4,1,0.75,233.78,0.00,N/A
172.67.202.238,4,1,0.75,235.09,0.00,N/A
172.67.205.247,4,1,0.75,235.42,0.00,N/A
172.65.223.201,4,1,0.75,236.56,0.00,N/A
104.21.193.204,4,1,0.75,236.93,0.00,N/A
104.21.102.58,4,1,0.75,236.95,0.00,N/A
104.18.231.140,4,1,0.75,238.04,0.00,N/A
172.67.154.197,4,1,0.75,240.34,0.00,N/A
104.16.180.108,4,1,0.75,242.44,0.00,N/A
104.21.116.58,4,1,0.75,243.03,0.00,N/A
172.67.136.221,4,1,0.75,243.68,0.00,N/A
104.21.13.66,4,1,0.75,244.41,0.00,N/A
104.21.92.240,4,1,0.75,244.88,0.00,N/A
172.67.157.171,4,1,0.75,245.27,0.00,N/A
104.21.101.247,4,1,0.75,246.05,0.00,N/A
172.67.181.79,4,1,0.75,246.05,0.00,N/A
104.21.118.139,4,1,0.75,246.36,0.00,N/A
172.67.177.56,4,1,0.75,246.65,0.00,N/A
104.21.127.178,4,1,0.75,246.81,0.00,N/A
104.21.98.191,4,1,0.75,247.32,0.00,N/A
104.21.113.193,4,1,0.75,247.69,0.00,N/A
172.67.189.86,4,1,0.75,248.51,0.00,N/A
104.21.2.249,4,1,0.75,248.68,0.00,N/A
104.21.222.98,4,1,0.75,248.68,0.00,N/A
104.18.242.144,4,1,0.75,250.21,0.00,N/A
104.21.126.207,4,1,0.75,251.52,0.00,N/A
104.16.242.230,4,1,0.75,253.13,0.00,N/A
172.67.211.106,4,1,0.75,253.30,0.00,N/A
104.21.114.153,4,1,0.75,256.73,0.00,N/A
104.21.97.15,4,1,0.75,258.68,0.00,N/A
172.67.174.227,4,1,0.75,259.79,0.00,N/A
172.67.198.73,4,1,0.75,259.83,0.00,N/A
104.19.3.200,4,1,0.75,260.44,0.00,N/A
104.19.63.44,4,1,0.75,262.87,0.00,N/A
172.65.32.207,4,1,0.75,263.57,0.00,N/A
104.18.216.81,4,1,0.75,264.24,0.00,N/A
104.21.1.68,4,1,0.75,265.42,0.00,N/A
104.21.81.31,4,1,0.75,265.49,0.00,N/A
104.18.251.232,4,1,0.75,266.91,0.00,N/A
172.67.197.65,4,1,0.75,267.28,0.00,N/A
104.18.156.241,4,1,0.75,269.81,0.00,N/A
172.65.24.244,4,1,0.75,271.18,0.00,N/A
104.16.253.250,4,1,0.75,271.66,0.00,N/A
104.17.4.252,4,1,0.75,273.42,0.00,N/A
104.18.215.115,4,1,0.75,278.16,0.00,N/A
104.16.212.149,4,1,0.75,287.06,0.00,N/A
104.17.13.0,4,1,0.75,290.13,0.00,N/A
141.101.114.149,4,1,0.75,303.88,0.00,N/A
104.18.230.149,4,1,0.75,333.73,0.00,N/A
104.18.248.2,4,1,0.75,346.67,0.00,N/A
104.18.71.193,4,1,0.75,358.68,0.00,N/A
104.17.2.17,4,1,0.75,386.55,0.00,N/A
104.17.216.244,4,1,0.75,398.34,0.00,N/A
